,transc_r,transc_pval,transc_sig
2-aminoadipate,0.3132683416836606,3.6007045272847524e-22,True
3-phosphoglycerate,0.4085312968594814,6.400539296310835e-38,True
alpha-glycerophosphate,0.5772308715928229,5.699192053304396e-82,True
4-pyridoxate,0.2301462485132491,2.100500218480799e-12,True
aconitate,0.43123994212682965,1.649119178674739e-42,True
adenine,0.24706885113883773,4.018380079839145e-14,True
adipate,0.23507198757236553,6.851670202226917e-13,True
alpha-ketoglutarate,0.3480568665770932,2.60898063915019e-27,True
AMP,0.611251735899514,2.4970424043691203e-94,True
citrate,0.33759249068779074,1.078022389953593e-25,True
isocitrate,0.35860487785055944,5.300669501079391e-29,True
CMP,0.5919094281885893,4.0184057045568533e-87,True
cystathionine,0.4676816319465327,1.2129480389458327e-50,True
cytidine,0.5615161245382227,9.75957204075508e-77,True
dCMP,0.5180085281981097,1.2749925564987558e-63,True
DHAP/glyceraldehyde 3P,0.4450718094426528,1.760916507829192e-45,True
erythrose-4-phosphate,0.2133520760168268,7.916230121637337e-11,True
F1P/F6P/G1P/G6P,0.3926994139174306,6.34854648014445e-35,True
hexoses (HILIC neg),0.5512701404240127,1.7930709422508706e-73,True
fumarate/maleate/alpha-ketoisovalerate,0.2694406729281469,1.336730608640899e-16,True
glucuronate,0.4294675061110692,3.874208082360384e-42,True
glutathione oxidized,0.44578985400492965,1.2237782511033918e-45,True
glutathione reduced,0.45773439767979707,2.527259375957231e-48,True
GMP,0.4295304711739561,3.758750602873315e-42,True
guanosine,0.4476049008693294,4.858872151108327e-46,True
hippurate,0.46732703476804893,1.4717162085847962e-50,True
hypoxanthine,0.28652726657603084,1.1748558272670616e-18,True
inosine,0.3366868544231194,1.4777980338231263e-25,True
kynurenine,0.3782505883175007,2.5036035107747076e-32,True
lactate,0.446398277005449,8.984570819948545e-46,True
lactose,0.4376711683690956,7.12359789150393e-44,True
malate,0.21137375324524457,1.1909183161837898e-10,True
NAD,0.31104802065378884,7.28167968833526e-22,True
NADP,0.4558455905763499,6.829194748907825e-48,True
oxalate,0.6429800387535366,2.7124278565515646e-107,True
pantothenate,0.43982770357980905,2.446383642871244e-44,True
PEP,0.31046365172074974,8.755795286993357e-22,True
ribose-5-P/ribulose5-P,0.4346628965970409,3.1234850515967682e-43,True
